Name,Gender,Period,Political Party,Position,Early Life,Education,Political Career,Family 
A. P. Jayasuriya,Male,26 September 1959 - 8 December 1959,,Minister of Health,"b""Jayasuriya was educated at Sri Sumangala College in Panadura and then Royal College, Colombo. He traveled to England in 1922 where he studied law. He was called to the bar at Lincoln's Inn in 1926 as an Barrister. He returned to Ceylon and practiced law as an Advocate.""",b'',"b'On 25 February 1936, Jayasuriya was elected to the State Council of Ceylon, representing Horana. Following the dissolution of the State Council Jayasuriya contested the 1st parliamentary elections, held between 23 August 1947 and 20 September 1947, for the Horana electorate on behalf of the United National Party. He won the seat with 15,828 votes (45%). Jayasuriya was appointed Parliamentary Secretary to the Minister of Posts and Telecommunications. In 1951 he crossed over to the opposition with S. W. R. D. Bandaranaike to form the Sri Lanka Freedom Party (SLFP).'",b''
M. V. P. Peiris,Male,23 March 1960 - 1960,,Minister of Health,b'',b'',b'',b''
A. P. Jayasuriya,Male,23 July 1960 - ,,Minister of Health,"b""Jayasuriya was educated at Sri Sumangala College in Panadura and then Royal College, Colombo. He traveled to England in 1922 where he studied law. He was called to the bar at Lincoln's Inn in 1926 as an Barrister. He returned to Ceylon and practiced law as an Advocate.""",b'',"b'On 25 February 1936, Jayasuriya was elected to the State Council of Ceylon, representing Horana. Following the dissolution of the State Council Jayasuriya contested the 1st parliamentary elections, held between 23 August 1947 and 20 September 1947, for the Horana electorate on behalf of the United National Party. He won the seat with 15,828 votes (45%). Jayasuriya was appointed Parliamentary Secretary to the Minister of Posts and Telecommunications. In 1951 he crossed over to the opposition with S. W. R. D. Bandaranaike to form the Sri Lanka Freedom Party (SLFP).'",b''
Badi-ud-din Mahmud,Male,28 May 1963 - ,,Minister of Health,"b""Badi-ud-din Mahmud was born in Matara, a town in the south of Sri Lanka. He was born into one of the most distinguished Sri Lankan Moor families of that time as the youngest of twelve siblings. His father was S.L.M. Mahmud Naina Marikkar Mathicham, better known as Matara Mahatmaya, who was an affluent planter and landed proprietor; Badi-ud-din Mahmud's mother was Fathima Natchiya. Mahmud was educated in his childhood at St. Thomas' College, and Wesley College, Colombo. He completed his higher education at Zahira College, Colombo, with the completion of his Cambridge Senior Examination. At Zahira College, he took interest in literature, tennis, and athletics.[citation needed]""",b'',b'',b''
M. D. H. Jayawardena,Male, - ,United National Party,Minister of Health,"b'Born to M.D.S Jayawardena Ralahami, he was educated at Trinity College, Kandy and at the Ceylon University College, where he graduated with a degree in economics. In 1938, he entered Ceylon Law College becoming an advocate. Traveling to the United Kingdom, he qualified as a Barrister and returned to Ceylon in 1946 and starting his legal practice.'",b'',"b'Joining the United National Party in 1947, he was elected to parliament from the Horana electorate in the 1952 parliamentary election and was appointed parliamentary secretary to the Minister of Finance, serving from October 1953 to  July 1954. When the Minister of Finance, Sir Oliver Goonetilleke was appointed Governor General, Jayawardena was succeeded him as Minister of Finance, serving from July 1954 to February 1956. He contested the 1956 parliamentary election from Horana, but lost to Sagara Palansuriya. In 1958, he was appointed general secretary of the United National Party, serving till 1972. He contested the Kottawa electorate in the July 1960 parliamentary election, but lost to Robert Gunawardena. He again contested from Kottawa in the 1965 parliamentary election and won defeating Robert Gunawardena and was appointed Minister of Health. During his tenure the Emergency Care Unit of the Colombo General Hospital was built. He served until 1968, when he was appointed Minister of Housing and Scientific Research and served till 1970. He lost his parliamentary seat 1970 parliamentary election to Chandra Gunasekera. He was re-elected in the 1977 parliamentary election and was appointed Minister of Plantation Industries serving till 1979.'",b'He married the daughter of Benthota Hendrique Karunarathne in 1942 and they had three children.'
George Rajapaksa,Male, - ,Sri Lanka Freedom Party,Minister of Health,b'',b'',b'',b''
Siva Obeyesekere,Female,1976 - 1977,Sri Lanka Freedom Party,Minister of Health,"b""Born at the Dassanayake Walawwe in Mirigama to Lois Robert Clifton Dassenaike and Amybelle Charlotte Valerie nee Corea, she was educated at Ladies' College, Colombo, where she was a hostel prefect and sports captain. Vijaya Corea was her half brother and Gamani Corea was her step-brother. She married James Peter Obeyesekere III, the only child of Sir James Peter Obeyesekere II, Maha Mudaliyar.""",b'',"b'James and Siva Obeyesekere, supported their kinsmen, S.W.R.D. Bandaranaike when he left the United National Party and formed the Sri Lanka Freedom Party in 1951, becoming founding members. She assisted her husband in his unsuccessful campaign for the Mirigama electorate in the 1952 general election and in the successful campaign for the Attanagalla electorate in the 1960 July general election. James Obeyesekere would serve as the Parliamentary Secretary of Health and Finance, thereafter he was appointed to the Senate of Ceylon in 1965.'","b'Siva Dassenaike married James Obeyesekere and they had two children, James Peter Obeyesekere IV and Chantal De Saram.'"
Ranjit Atapattu,Male,1982 - 1989,United National Party,Minister of Health,b'',b'',b'',b''
Renuka Herath,Female,1989 - 1994,United National Party,Minister of Health,b'',b'',b'',b''
A. H. M. Fowzie,Male,1994 - ,Sri Lanka Freedom Party,Minister of Health,b'',b'',b'',b''
John Seneviratne,Male,19 October 2000 - ,Sri Lanka Freedom Party,Minister of Health,b'',b'',b'',b''
P. Dayaratna,Male,12 December 2001 - ,United National Party,Minister of Health,b'',b'',b'',b''
Nimal Siripala de Silva,Male,14 September 2001 - ,Sri Lanka Freedom Party,Minister of Health,"b'De Silva born to a family of teachers in Badulla. He was educated at Nalanda College, Colombo where he was a member of the college debating team. He entered Colombo Law College in 1966 and qualified as a proctor in 1971.'",b'',"b'He entered parliament in 1989 having been elected from the Colombo Electoral District in the 1989 general election and was re-elected from Colombo till 2000, when he was elected from Badulla Electoral District and had been re-elected consecutively till the present. He is the Assembly President of the World Health Organization.'",b''
Maithripala Sirisena,Male,23 April 2010 - 21 November 2014,Sri Lanka Freedom Party,Minister of Health,"b'Maithripala Sirisena was born as the eldest of a family of 12 with 5 brothers and 6 sisters, on 3 September 1951 in Yagoda, a village in present-day Gampaha District. His father Pallewatte Gamaralalage Albert Sirisena was a World War II veteran who was awarded five acres of paddy land in Polonnaruwa near Parakrama Samudra which resulted in the family moving from Yagoda to Polonnaruwa. His mother, Yapa Appuhamilage Dona Nandawathi, was a school teacher.'",b'',b'',"b'Sirisena is married to Jayanthi Pushpa Kumari, they have two daughters, Chathurika, Dharani, and a son, Daham.'"
Tissa Attanayake,Male,11 December 2014 - ,United National Party,Minister of Health,b'',b'',b'',b''
Rajitha Senaratne,Male,12 January 2015 - 17 August 2015,,Minister of Health,"b'Senaratne was born 29 May 1950, the son of Dr. N. H. D. A. and D. W. B. Senaratne. He was educated at Nalanda College, Colombo and Ananda College. After school he joined the University of Ceylon, Peradeniya in 1971, graduating from its successor, the University of Sri Lanka Peradeniya campus, in 1974 with a degree in dentistry. Whilst at university he was president of the student wing of the Sri Lanka Freedom Party (SLFP).[a]'",b'',b'',b''
P. Dayaratna,Male,12 December 2001 - ,United National Party,Minister of Health,b'',b'',b'',b''
Nimal Siripala de Silva,Male,10 April 2004 - ,Sri Lanka Freedom Party,Minister of Health,"b'De Silva born to a family of teachers in Badulla. He was educated at Nalanda College, Colombo where he was a member of the college debating team. He entered Colombo Law College in 1966 and qualified as a proctor in 1971.'",b'',"b'He entered parliament in 1989 having been elected from the Colombo Electoral District in the 1989 general election and was re-elected from Colombo till 2000, when he was elected from Badulla Electoral District and had been re-elected consecutively till the present. He is the Assembly President of the World Health Organization.'",b''
Tissa Karalliyadde,Male,19 October 2000 - ,Sri Lanka Freedom Party,Minister of Health,b'',b'',b'',b''
Piyasena Gamage,Male,23 April 2010 - ,Sri Lanka Freedom Party,Minister of Health,b'',b'',b'',b''
Salinda Dissanayake,Male,22 November 2010 - ,Sri Lanka Freedom Party,Minister of Health,b'',b'',b'',b''
Rajitha Senaratne,Male,12 January 2015 - 17 August 2015,,Minister of Health,"b'Senaratne was born 29 May 1950, the son of Dr. N. H. D. A. and D. W. B. Senaratne. He was educated at Nalanda College, Colombo and Ananda College. After school he joined the University of Ceylon, Peradeniya in 1971, graduating from its successor, the University of Sri Lanka Peradeniya campus, in 1974 with a degree in dentistry. Whilst at university he was president of the student wing of the Sri Lanka Freedom Party (SLFP).[a]'",b'',b'',b''
N. M. Perera,Male,14 October 1947 - 8 April 1952,Lanka Sama Samaja Party,Opposition Leader,"b""Born to Nanayakkarapathirage Abraham Perera who was a rent collector at 36 St Joseph 's Street, in Grandpass, Colombo and Johana Perera. He was the fifth of nine siblings that was made up of five boys and four girls.""","b""Perera started his schooling in the vernacular section of St. Joseph's School, Grandpass and was later was admitted to the English section. From there he spent a year at the Cathedral Boys School, Mutwal a branch school of S. Thomas' College, Mutwal, then known as Cathedral Boys School, Mutwal. In 1919, he entered S. Thomas' College, Mount Lavinia and left in 1922 to join Ananda College. At Ananda he played cricket for the college team.""",b'',"b'He married fellow LSSP founding member and later party secretary, Selina Margaret Peiris on 6 March 1936. N. M. Perera was an avid cricket fan and a keen tennis player.'"
S. W. R. D. Bandaranaike,Male,9 June 1952 - 18 February 1956,Sri Lanka Freedom Party,Opposition Leader,"b'Bandaranaike was born in Colombo, Ceylon, to the wealthy Sinhalese Anglican Christian Bandaranaike family, which had become one of the more elite native families under the British administration. His father was Sir Solomon Dias Bandaranaike, the Maha Mudaliyar of Ceylon at the time[note 1], while his mother, Daisy Ezline Obeyesekere, was a daughter of Sir Solomon Christoffel Obeyesekere, a member of the Legislative Council of Ceylon. Sir Solomon named his only son after Sir Joseph West Ridgeway, the Governor of Ceylon at the time, who was his godfather[clarification needed]. He had two sisters, Alexandra Camelia, and Anna Florentina. Sir Forester Obeysekera was his maternal uncle.'","b""He was tutored at his home, Horagolla Walauwa, by Mr. Henry Young, an English tutor from Nuwaraeliya, and for a short time attended S. Thomas' College, Mutwal, where he boarded with the warden, Rev. Arthur William Stone. He passed his Senior Cambridge examinations with distinctions in English, Latin, Greek and French, and gained the second Order of Merit in the British Empire that year. He entered Christ Church, Oxford, where he read philosophy, politics and economics, and graduated with honours in 1923. At Oxford, he was Secretary of the Oxford Union and President of the Majlis Society; his contemporaries at Oxford included Anthony Eden. In 1924, he became a barrister and was called to the bar at the Inner Temple; on his return to Ceylon, he took oaths as an Advocate of the Supreme Court of Ceylon.""","b'After his return from Britain, Bandaranaike became active in local politics. He got elected as the Chairman of the Nittambuwa Village Committee in his family seat. He became Secretary of the Ceylon National Congress (CNC) in 1926, and in December the same year was elected from the Maradana Ward to the Colombo Municipal Council, defeating the trade unionist A. E. Goonesinha.'","b'In 1940, he married Sirima Ratwatte, daughter of Barnes Ratwatte Rate Mahatmaya, later Dissawa of Sabaragamuwa. Ratwatte was an old Radala family hailing from the Kingdom of Kandy and the Bandaranaike\'s were an old and wealthy family from the low-country which had been in service of the colonial rulers for centuries. The wedding was dubbed ""the wedding of the century"" and linked Bandaranaike with the Kandyan elite through marriage.'"
N. M. Perera,Male,19 April 1956 - 5 December 1959,Lanka Sama Samaja Party,Opposition Leader,"b""Born to Nanayakkarapathirage Abraham Perera who was a rent collector at 36 St Joseph 's Street, in Grandpass, Colombo and Johana Perera. He was the fifth of nine siblings that was made up of five boys and four girls.""","b""Perera started his schooling in the vernacular section of St. Joseph's School, Grandpass and was later was admitted to the English section. From there he spent a year at the Cathedral Boys School, Mutwal a branch school of S. Thomas' College, Mutwal, then known as Cathedral Boys School, Mutwal. In 1919, he entered S. Thomas' College, Mount Lavinia and left in 1922 to join Ananda College. At Ananda he played cricket for the college team.""",b'',"b'He married fellow LSSP founding member and later party secretary, Selina Margaret Peiris on 6 March 1936. N. M. Perera was an avid cricket fan and a keen tennis player.'"
C. P. de Silva,Male,30 March 1960 - 23 April 1960,Sri Lanka Freedom Party,Opposition Leader,"b""Born Randombe in Balapitiya to C. R. de Silva, a proctor with a civil practice in Balapitiya and Galle; and Obinamuni Adlin de Silva. He had three brothers and two sisters. His brother A. H. de Silva took over their father's practice and was elected to parliament along with his other brother Merril de Silva, his sister Gladys married R. T. de Silva and the other sister Stella became a pediatrician. His brother Dr L. B. de Silva was a researcher attached to the Medical Research Institute. He was a cousin of Colvin R. de Silva.""","b""He was educated at Dharmasoka College, Ambalangoda and St Thomas' College, Mt. Lavinia, where he won the Gregory Scholarship, the Miller Award and became head boy. Thereafter he attend the Ceylon University College where he gained a BSc in Mathematics (first Class)in 1933. He thereafter attended University of London for postgraduate studies.""","b'C. P. de Silva was brought into active politics by Herbert Sri Nissanka, who was the secretary of the Sri Lanka Freedom Party. He contested in the general elections in 1952 and was elected to parliament from Polonnaruwa from the Sri Lanka Freedom Party defeating the incumbent P. L. Bauddhasara.'",b''
Dudley Senanayake,Male,5 August 1960 - 17 December 1964,United National Party,Opposition Leader,"b'Dudley Senanayake was born on 19 June 1911 to the wealthy Senanayake family which was at the time becoming active in local colonial-era politics. His paternal grandfather Mudaliyar Don Spater Senanayake established the family wealth through graphite mining, which he later expanded into plantations and investments in the arrack renting franchise. His parents were Don Stephen Senanayake and Molly Dunuwila. He was the eldest in the family with a younger brother Robert.'","b""Dudley received his secondary education at the prestigious S. Thomas' College, where he excelled in his studies and sports. He became the Head Prefect, captained the college team at cricket at the Royal-Thomian and gained colours in hockey, boxing, and athletics. He won the Victoria Gold Medal for the most outstanding student at S. Thomas'. Senanayake then went on to Corpus Christi College, Cambridge to read for Natural Science Tripos and after graduation gained admission to the Middle Temple as a Barrister.""","b""After returning to Ceylon in 1935, Dudley took oaths as an Advocate of the Supreme Court of Ceylon and briefly embanked on a legal practice under H. V. Perera, KC before entering politics on his father's urging. He was elected from the Dedigama electorate in 1936 to the State Council, while his father was Minister of Agriculture and served as a back-bencher for ten years. As State Councillor of Dedigama, he undertook much development work in his electorate developing roads, hospitals, schools and police stations. \nDuring this time he became active in the Ceylon National Congress (CNC) having been appointed in December 1939 as its joint secretary with J. R. Jayewardene another young lawyer who had been elected to the Colombo Municipal Council. The CNC was urging for the independence of Ceylon to the extent his father, D. S. Senanayake resigned from the congress because he disagreed with its revised aim of achieving complete independence from the British Empire, preferring Dominion status and its inclusion of Marxists. Following his father's resignation, Dudley succeeded his father as Minister of Agriculture and Lands in the second board of ministers of the state council in 1946.""",b''
Sirimavo Bandaranaike,Female,5 April 1965 - 25 March 1970,Sri Lanka Freedom Party,Opposition Leader,"b'Bandaranaike was born Sirima Ratwatte on 17 April 1916 at the Ellawala Walawwa in Ratnapura, in British Ceylon. Her mother was Rosalind Hilda Mahawalatenne Kumarihamy, a reputed Ayurvedic physician, and her father was Barnes Ratwatte, a politician. Her maternal grandfather Mahawalatenne, and later her father, served as Rate Mahatmaya, a native headman, of Balangoda. Her father was a member of the Radala, hereditary nobility from the Kingdom of Kandy. Her paternal ancestry included her uncle Sir Jayatilaka Cudah Ratwatte, the first person from Kandy to receive a British knighthood, as well as courtiers serving Sinhalese monarchs. One of these, Ratwatte, Dissawa of Matale, was a signatory of the 1815 Kandyan Convention.'",b'',"b'In May 1960, Bandaranaike was unanimously elected party president by the executive committee of the Freedom Party, although at the time she was still undecided about running in the July election. Disavowing former party ties with Communists and Trotskyists, by early June she was campaigning with promises to carry forward the policies of her husband  in particular, establishing a republic, enacting a law to establish Sinhala as the official language of the country, and recognising the predominance of Buddhism, though tolerating the estate Tamils use of their own language and Hindu faith. Though there had been Tamil populations in the country for centuries, the majority of the estate Tamils had been brought to Ceylon from India by the British authorities as plantation workers. Many Ceylonese viewed them as temporary immigrants, even though they had lived for generations in Ceylon. With Ceylon\'s independence, the Citizenship Act of 1948 excluded these Indian Tamils from citizenship, making them stateless. S.W.R.D.\'s policy toward the stateless Tamils had been moderate, granting some citizenship and allowing productive workers to remain. His successor, Dudley Senanayake, was the first to recommend compulsory repatriation for the population. Bandaranaike toured the country and made emotional speeches, frequently bursting into tears as she pledged herself to continue her late husband\'s policies. Her actions earned her the title ""The Weeping Widow"" from her opponents.'",b''
J. R. Jayewardene,Male,7 June 1970 - 18 May 1977,United National Party,Opposition Leader,"b'Born to a prominent Ceylonese family with a strong association with the legal profession, Jayewardene was the eldest of twelve children, of Hon. Justice Eugene Wilfred Jayewardene KC, a prominent lawyer and Agnes Helen Don Philip Wijewardena daughter of Tudugalage Muhandiram Don Philip Wijewardena a wealthy merchant. He was known as Dickie within his family. His younger brothers included Hector Wilfred Jayewardene, QC and Rolly Jayewardene, FRCP. His uncles were the Colonel Theodore Jayewardene, Justice Valentine Jayewardene and the Press Baron D. R. Wijewardena.'","b'Jayewardene gained admission to Royal College, Colombo for his secondary education. There he excelled in sports, played for the college cricket team, debuting in the Royal-Thomian series in 1925; captained the rugby team in 1924 at the annual ""Royal-Trinity Encounter"" (which later became known as the Bradby Shield Encounter); he was the vice captain of the football team in 1924; and was a member of the boxing team winning sports colours. He was a Senior Cadet; Captain, Debating Team; Editor, College Magazine; first Secretary in Royal College Social Services League in 1921 and he became the head prefect in 1925. In later life, he served as President, Board of Control for Cricket in Sri Lanka; President, Sinhalese Sports Club; and Secretary, Royal College Union.'",b'Jayewardene was attracted to national politics in his student years and developed strong nationalist views. He converted from Anglicanism to Buddhism and adopted the national dress as his formal attire.',"b'On 28 February 1935, Jayewardene married the heiress Miss Elina Bandara Rupasinghe, only daughter of Nancy Margaret Suriyabandara and Gilbert Leonard Rupasinghe, a notary public turned successful businessmen. Their only child Ravindra ""Ravi"" Vimal Jayewardene was born the year after.  Having originally settled at Jayewardene\'s parents house Vaijantha, the Jayewardene\'s moved to their own house Braemar in 1938, where they remained the rest of their lives, when not holidaying at their holiday home in Mirissa.'"
A. Amirthalingam,Male,4 August 1977 - 24 October 1983,Tamil United Liberation Front,Opposition Leader,"b'Amirthalingam was born 26 August 1927 in Pannagam near Vaddukoddai in northern province of Ceylon. He was the son of S. Appapillai, a retired station master, and Valliammai. He had three brothers (Sockalingam, Vasu Thevalingam and Thigamparalingam). He was educated at Meihandan Tamil School, Pannakam and Victoria College, Chulipuram. He later studied at Ceylon University College. After graduation he joined the legal profession, becoming an advocate.'",b'',"b""Amirthalingam joined the newly formed Illankai Tamil Arasu Kachchi (Federal Party) in 1949 and became leader of its Youth Front. He was ITAK's  candidate for Vaddukoddai at the 1952 parliamentary election but failed to get elected. He stood again at the 1956 parliamentary election. He was won this time and entered Parliament. He was re-elected at the March 1960, July 1960 and 1965 parliamentary elections. He stood for re-election in Vaddukoddai at the 1970 parliamentary election but was defeated by the All Ceylon Tamil Congress candidate.""",b''
Anura Bandaranaike,Male,8 November 1983 - 20 December 1988,Sri Lanka Freedom Party,Opposition Leader,"b""Born on February 15, 1949 at Tintagel, Rosmead Place, Colombo to Solomon West Ridgeway Dias Bandaranaike and Sirima Ratwatte Dias Bandaranaike. He was the youngest of three siblings and only son. His family has a long history in the socio-political arena of the country. His grandfather, Sir Solomon Dias Bandaranike was the Maha Mudaliyar (the chief native interpreter and advisor to the Governor) and his maternal grandfather Barnes Ratwatte Rate Mahatmaya, Dissawa of Sabaragamuwa during British colonial rule. Bandaranaike's father Solomon West Ridgeway Dias Bandaranaike was at the time of his birth the Cabinet Minister of Health and Local Government and would become the fourth Prime Minister of Ceylon in 1956. He was assassinated on 26 September 1959, when young Anura was ten years old. His mother, took over the leadership of the Sri Lanka Freedom Party which was formed by her husband and became the first female Prime Minister in the world when she was appointed as Prime Minister of Ceylon in July 1960. He and his two elder sisters soon found themselves active in the party politics. His eldest sister Sunethra Bandaranaike, became a socialite and his other sister Chandrika Bandaranaike Kumaratunga, later became the President of Sri Lanka.""","b'Bandaranaike completed his primary education at Royal Preparatory School and secondary education at the Royal College, Colombo where his contemporaries included Ranil Wickremesinghe and Dinesh Gunawardena. He then read Ancient and Modern History at the University of London, graduating with a BA Honours in 1973.'","b'Bandaranaike returned to Sri Lanka in 1974, when his mother was serving her second term as Prime Minister. He soon became active in the Sri Lanka Freedom Party, having been appointed leader of its Youth Wing and thereafter Director of the National Youth Services Council. He contested the 1977 general election from the Maskeliya multi-seat constituency from the Sri Lanka Freedom Party. Though the Sri Lanka Freedom Party faced a crushing defeat in the election, Bandaranaike was elected to parliament. He would remain a member of parliament till his death. Following the defeat of Sri Lanka Freedom Party government in July 1977, Bandaranaike sat in the opposition in parliament with his mother. The Sri Lanka Freedom Party became a minority in the opposition and A. Amirthalingam of the Tamil United Liberation Front became the leader of the opposition.'",b''
Sirimavo Bandaranaike,Female,9 March 1989 - 24 June 1994,Sri Lanka Freedom Party,Opposition Leader,"b'Bandaranaike was born Sirima Ratwatte on 17 April 1916 at the Ellawala Walawwa in Ratnapura, in British Ceylon. Her mother was Rosalind Hilda Mahawalatenne Kumarihamy, a reputed Ayurvedic physician, and her father was Barnes Ratwatte, a politician. Her maternal grandfather Mahawalatenne, and later her father, served as Rate Mahatmaya, a native headman, of Balangoda. Her father was a member of the Radala, hereditary nobility from the Kingdom of Kandy. Her paternal ancestry included her uncle Sir Jayatilaka Cudah Ratwatte, the first person from Kandy to receive a British knighthood, as well as courtiers serving Sinhalese monarchs. One of these, Ratwatte, Dissawa of Matale, was a signatory of the 1815 Kandyan Convention.'",b'',"b'In May 1960, Bandaranaike was unanimously elected party president by the executive committee of the Freedom Party, although at the time she was still undecided about running in the July election. Disavowing former party ties with Communists and Trotskyists, by early June she was campaigning with promises to carry forward the policies of her husband  in particular, establishing a republic, enacting a law to establish Sinhala as the official language of the country, and recognising the predominance of Buddhism, though tolerating the estate Tamils use of their own language and Hindu faith. Though there had been Tamil populations in the country for centuries, the majority of the estate Tamils had been brought to Ceylon from India by the British authorities as plantation workers. Many Ceylonese viewed them as temporary immigrants, even though they had lived for generations in Ceylon. With Ceylon\'s independence, the Citizenship Act of 1948 excluded these Indian Tamils from citizenship, making them stateless. S.W.R.D.\'s policy toward the stateless Tamils had been moderate, granting some citizenship and allowing productive workers to remain. His successor, Dudley Senanayake, was the first to recommend compulsory repatriation for the population. Bandaranaike toured the country and made emotional speeches, frequently bursting into tears as she pledged herself to continue her late husband\'s policies. Her actions earned her the title ""The Weeping Widow"" from her opponents.'",b''
Gamini Dissanayake,Male,25 August 1994 - 24 October 1994,United National Party,Opposition Leader,"b'He was born in Kandy as the second son of a family of seven children, his father was Andrew Dissanayake who served as an Member of Parliament and the Parliamentary Secretary to the Minister of Nationalised Services and Shipping in the Sri Lanka Freedom Party government of S.W.R.D. Bandaranaike. His mother was Welegedara Samaratunga Kumarihamy from Kotmale.  The wealthy Dissanayake family resided in both Kandy as well as Nuwara Eliya. Dissanayake had his schooling at the prestigious Trinity College, Kandy. He later completed an MPhil in International Relations at the Wolfson College, Cambridge in 1992.'",b'',"b""Following is father's legacy, he sought nomination from the Sri Lanka Freedom Party for the 1970 general elections from the Nuwara Eliya electorate, but was refused. He instead contested from the United National Party (UNP) and was elected as a member of parliament under United National Party (UNP) candidature and was one of the 18 UNP members in the parliament at a time when his party has faced an humiliating defeat. However, he was unseated in an election petition and faced suspension of his civic rights for seven years. That year a modification of the law by Minister of Justice, Felix Dias Bandaranaike to benefit Nanda Ellawala, allowed for Dissanayake to retain his civic rights and contest the by-election regaining his seat in parliament in 1972.""","b""Gamini Dissanayake married Srima Lenaduwa in 1968. They had two sons, who are active in politics, Navin and Mayantha. His eldest son Navin was the Cabinet Minister of State Management Reforms in President Mahinda Rajapakse's Government and Member of Parliament for Nuwara Eliya District; he was non-cabinet Minister of Investment Promotion too.  Mayantha contested for the 2010 General Election for Kandy District as a UNP candidate."""
Ranil Wickremesinghe,Male,28 October 1994 - 10 October 2001,United National Party,Opposition Leader,"b'Born on 24 March 1949 in Colombo, Wickremesinghe was the second son of Esmond Wickremesinghe and Nalini Wickremesinghe nee Wijewardena. His father was a lawyer who became a press baron taking over the Lake House Group of newspapers. His grandfathers were Cyril Wickremesinghe of the Ceylon Civil Service and the press baron, D. R. Wijewardhena.'","b'Wickremesinghe was educated at the Royal Preparatory School and at the Royal College, Colombo where he was a classmate and friend of Anura Bandaranaike, son of then Prime Minister Solomon Bandaranaike and Dinesh Gunawardena, son of socialist leader Philip Gunawardena. Wickremasinghe entered the Faculty of Law of the University of Ceylon at its Colombo Campus which is now the University of Colombo. After graduation, he completed the law exams at the Ceylon Law College and took oaths as an advocate in 1972 after having apprenticed under H. W. Jayewardene, QC. He became an Attorney at law following the changes to the legal profession in 1973. Wickramasinghe received an honorary doctorate from Deakin University in Australia on February 14, 2017, for his significant contributions in reforms in economy, education and human rights.'","b'Wickremesinghe joined the United National Party (UNP) and progressed through its ranks. He was appointed as the chief organizer of the Kelaniya Electorate in the mid-1970s but was later appointed as the chief organizer of the Biyagama Electorate, which he won in the 1977 parliamentary elections.'","b""Wickremasinghe married Maitree Wickremasinghe, Sri Lankan academic and Professor of English in 1994. Wickremasinghe has made several efforts to keep his private life out of politics. His personal life is rarely publicized or discussed. Maitree Wickremasinghe avoided the political spotlight until Wickremasinghe's recent re election as prime minister in 2015."""
Ratnasiri Wickremanayake,Male,18 December 2001 - 31 January 2002,Sri Lanka Freedom Party,Opposition Leader,"b""Wickremanayake was educated in Millewa Primary School, Dharmapala Vidyalaya, Pannipitiya, Hartley College, Point Pedro and Ananda College, Colombo and later as a student joined Lincoln's Inn to become a Barrister of Law, but ultimately chose to enter politics rather than appear for the exam. During his time in United Kingdom he was elected president of the Ceylon Students' Association in the United Kingdom in 1955.""",b'',"b""Wickremanayake entered politics in 1960. He was elected to the legislature in 1960, from Horana for the Lanka Sama Samaja Party (then a part of the People's United Front alliance). Wickremanayake joined the SLFP in 1962. He was re-elected twice (in 1965 and 1970) to the legislature for Horana from the Sri Lanka Freedom Party (SLFP).""",b''
Mahinda Rajapaksa,Male,6 February 2002 - 7 February 2004,Sri Lanka Freedom Party,Opposition Leader,"b""Rajapaksa spent his formative years at the family home in Medamulana. At the age of six, he was sent to his father's school Richmond College in Galle. Initially he and his elder brother were boarded with a family in Galle, later their mother rented a house in Galle called the 'Singapore House' and moved there to facilitate the education of the growing family. In the mid-fifties the Rajapaksa family moved to Colombo and Mahinda Rajapaksa was admitted to Nalanda College, Colombo. Later in 1957 he transferred to Thurstan College, where he took part in sports such as cricket, rugger and athletics, taking part in the 400m relay team and becoming the putt shot champion.""",b'',"b""In the mid-sixties he started work as a library assistant at the Vidyodaya Pirivena and soon became active in leftwing politics. He became a member of the Ceylon Mercantile Union and was elected it's branch secretary in 1967. His father who had lost his parliamentary seat the 1965 general elections, died in November 1967. The Sri Lanka Freedom Party (SLFP) party leader Sirima Bandaranaike offered the his father's post of SLFP party organiser for the Beliatta electorate to his older brother Chamal. Chamal who had joined the Ceylon Police Force as a Sub-inspector, turndown Mrs Bandaranaike's offer in favour of his younger brother and Mahinda Rajapaksa was appointed as SLFP organiser for Beliatta in 1968.""","b'In 1983, Rajapaksa married Shiranthi Wickremesinghe, a child psychologist and educator. Shiranthi Rajapaksa is the daughter of E. P. Wickremesinghe, a retired commodore of the Sri Lanka Navy.'"
